scope,source,seed_pair,group,mean,median,sd,iqr,n
polarity_only,R,42_2026,D1,0.004539062906867836,0.0008180243747974961,0.01313045231265311,0.0034276028379345946,2638
polarity_only,R,123_2026,all,0.0020216221117747377,0.00016542152887512253,0.010337292833877349,0.0005491868510483486,15385
polarity_only,R,123_2026,D0,0.0015695441946072524,0.00016461787296592712,0.009409199667698993,0.0002716262701153014,12747
polarity_only,R,123_2026,D1,0.004206094139877064,0.0006683505117599848,0.01377390505420529,0.002890957290173122,2638
polarity_only,V,42_123,all,0.0038458009983479585,0.00012520274779894954,0.013338638899798572,0.0016941434855550822,15385
polarity_only,V,42_123,D0,0.002961976748401213,6.289849827087598e-05,0.012066743236560849,0.0008791368486752709,12747
polarity_only,V,42_123,D1,0.008116501420664552,0.0018780829209291577,0.01766778378488501,0.007200384694432329,2638
polarity_only,V,42_2026,all,0.004156895891886743,0.000145304272401626,0.015339398018246565,0.0017678231467391893,15385
polarity_only,V,42_2026,D0,0.003099734720871809,6.633123145980473e-05,0.0138121338886971,0.000906571644595044,12747
polarity_only,V,42_2026,D1,0.009265172407022215,0.0018997378455543298,0.020471399448280397,0.00875667900397959,2638
polarity_only,V,123_2026,all,0.003924271041622108,0.00016863445244782446,0.015072429748824015,0.001768480756373228,15385
polarity_only,V,123_2026,D0,0.0030954664223375727,8.647054867705608e-05,0.014307206269047554,0.0009535025750985264,12747
polarity_only,V,123_2026,D1,0.007929112770970081,0.0019071631246381912,0.01779230622188871,0.007395553858812064,2638
singleton,R,42_123,all,0.003718392404348078,0.0004478671784735105,0.012563280656232738,0.002410753956215355,14551
singleton,R,42_123,D0,0.0026751853800220165,0.00019728018018342288,0.011694093556890639,0.0011769423164118913,7558
singleton,R,42_123,D1,0.004845885424490559,0.0010502943898285074,0.013349109903212175,0.003818783783654969,6993
singleton,R,42_2026,all,0.0037277295225360096,0.000428529956609761,0.012957345470077373,0.0024097786196247938,14551
singleton,R,42_2026,D0,0.0026203530670579848,0.00018364044021962803,0.012088545717076845,0.0011633593321214845,7558
singleton,R,42_2026,D1,0.004924576548204953,0.000985999165212173,0.01373596817895076,0.003793697156412579,6993
singleton,R,123_2026,all,0.0036990540945476395,0.00040993746331727124,0.013481360644613732,0.0021271598223034155,14551
singleton,R,123_2026,D0,0.002660907975916156,0.00020024063724328502,0.011959510859679633,0.0010843134013760706,7558
singleton,R,123_2026,D1,0.004821077312711053,0.0008741063863712427,0.014872617856394208,0.003472823914352611,6993
singleton,V,42_123,all,0.005949444288544113,0.000827124678536226,0.016691149129162475,0.004219985307647574,14551
singleton,V,42_123,D0,0.004777528094058306,0.0004622780271859192,0.014920021308857659,0.0028507166794523187,7558
singleton,V,42_123,D1,0.007216045546648465,0.0013685287259866262,0.018331852381389596,0.0058180873430295045,6993
singleton,V,42_2026,all,0.006476457309214014,0.0008541036826689912,0.01805384972794028,0.0045814621107960005,14551
singleton,V,42_2026,D0,0.005041554549184366,0.0004873529721777566,0.01634394872003872,0.0031625673911992087,7558
singleton,V,42_2026,D1,0.008027293153673343,0.0014245216536977103,0.01961954826417093,0.006838889393143601,6993
singleton,V,123_2026,all,0.006066187080223629,0.0008171903092973401,0.017826547359013317,0.004125678708183897,14551
singleton,V,123_2026,D0,0.004757650308459744,0.0005001917368373017,0.016136493301962835,0.002694050784352108,7558
singleton,V,123_2026,D1,0.00748044718618551,0.001337251855620217,0.01939117252674832,0.00584085655467934,6993
